OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Full Address,Latitude,Longitude
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,"I-69, EXIT 309A, Fort Wayne                              ",41.0916397,-85.2183605
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,"I-10, EXIT 76, Egan",30.5279928,-99.852776
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,"I-84, EXIT 17, Troutdale",45.5447421,-122.3991729
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,"I-80, EXIT 104 & US-191, Rock Springs",41.5963459,-109.1638874
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,"I-82, EXIT 80, Prosser",46.2211056,-119.7577668
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,"I-82, EXIT 80, Prosser",46.2211056,-119.7577668
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,"I-20/I-59, EXIT 77, Cottondale",33.5444741,-86.7536215
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,"I-70, EXIT 58 & SR-23, Concordia",38.9915388,-93.564576
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,"I-80, EXIT 59 & SR-17J, Sidney",41.113357,-102.971989
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,"I-89/SR-120, EXIT 18 & SR-120, Lebanon",33.854721,35.862285
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,"I-84, EXIT 5, Montgomery",41.5105804,-74.2238553
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,"I-90,  EXIT 218, Geneva",43.934,-91.8130177
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,"TCH-16, Edmonton",53.278096,-110.0054503
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,"TCH-16, Edmonton",53.278096,-110.0054503
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,"TCH-16, Edmonton",53.278096,-110.0054503
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,"TCH-16, Edmonton",53.278096,-110.0054503
